text,label
My new card still says inactive when I try to pay.,0
I just received the card and cannot activate it in the app.,0
"Activation failed twice, what should I do next?",0
How do I enable my physical card before the first purchase?,0
Card setup is stuck on the activation step.,0
"I tapped activate, but the status remains pending.",0
Why is my card not usable even after activation confirmation?,0
Can you walk me through activating the card manually?,0
I entered the code but my card is still blocked as inactive.,0
Do I need a chip-and-pin transaction to complete activation?,0
I cannot find the activate button for this replacement card.,0
My card arrived today; please help me turn it on.,0
Activation keeps timing out in the app.,0
I need the card active immediately for travel.,0
Is there any reason a brand-new card would not activate?,0
What is the minimum age to open an account?,1
Can a 16-year-old sign up without a parent?,1
Is the service available for teenagers?,1
How old must I be to get a card?,1
Can my 14-year-old have their own account?,1
Are junior accounts supported in your app?,1
Is there an age restriction for creating a profile?,1
At what age can someone pass verification?,1
Can children use the banking features with parental approval?,1
"I am under 18, am I eligible?",1
Do you offer accounts for minors?,1
Is there a separate age policy for students?,1
Can my son join before turning 18?,1
Does the minimum age differ by country?,1
Are there any limits for users who are 17?,1
My Apple Pay top-up keeps getting declined.,2
Can I add money with Google Pay instead of typing card details?,2
Top up from my phone wallet fails every time.,2
Is contactless wallet top-up supported for this card?,2
I tried using Apple Watch to top up and it did not go through.,2
Why will my mobile wallet card not work for top up?,2
Can I fund the account through Google Pay on Android?,2
The app rejects my wallet payment when I tap top up.,2
Are prepaid cards in Apple Pay allowed for top up?,2
Top-up works with my physical card but not with the Apple Pay token.,2
Do you support Samsung or Google Wallet for adding funds?,2
"My card in Google Pay is valid, but top up still fails.",2
Is there a limit for top-ups made via a mobile wallet?,2
"I want to top up directly from Apple Wallet, how can I do that?",2
Wallet-based top up shows an error and cancels.,2
Which ATMs can I use to withdraw cash?,3
Are there fees if I take money out at another bank ATM?,3
Can I withdraw cash internationally with this card?,3
Why did the ATM decline my withdrawal?,3
Is there a daily cash withdrawal cap?,3
Can I use any cash machine or only partner ATMs?,3
"The ATM kept my card during withdrawal, what should I do?",3
How do I find surcharge-free ATMs nearby?,3
Is cash withdrawal available in foreign currency?,3
I can pay in stores but cannot withdraw at an ATM.,3
Do contactless ATMs work with your card?,3
What is the withdrawal limit per ATM transaction?,3
Can I change my ATM withdrawal limit in the app?,3
Are withdrawals blocked in some countries?,3
Why was my cash withdrawal reversed?,3
How can I enable automatic top-up when my balance is low?,4
I want auto top-up every time my balance drops below 20 dollars.,4
Can I set a monthly cap for automatic top-ups?,4
Auto top-up did not trigger even though my balance is near zero.,4
Where do I choose the low-balance threshold for top-up?,4
Can auto top-up charge my linked card overnight?,4
I need to disable auto top-up temporarily.,4
Why did auto top-up run twice today?,4
Is there a minimum amount for automatic top-ups?,4
Can I use different cards for manual and auto top-up?,4
How often can automatic top-up trigger in one day?,4
My auto top-up setting disappeared after an app update.,4
Can I get a notification before auto top-up executes?,4
Is auto top-up available for virtual cards too?,4
I set auto top-up but funds were not added.,4
I made a bank transfer but it still is not in my balance.,5
"Incoming transfer is marked completed by the sender, but I cannot see it.",5
Why is my transfer pending for so long?,5
I sent money from my UK account and nothing arrived.,5
"The transfer reference exists, yet the funds are missing.",5
How long do inbound bank transfers usually take?,5
Transfer status says processing for two days.,5
My salary transfer has not posted to the account.,5
Can you trace an incoming transfer that is delayed?,5
I transferred funds this morning and my balance did not update.,5
The app shows no record of my recent bank transfer.,5
My transfer appears stuck between banks.,5
Can weekend timing delay incoming transfers?,5
"The sender was debited, but I still have not received the money.",5
Where can I check detailed transfer progress?,5
I deposited cash and it is still not credited.,6
My cash deposit at the kiosk is pending since yesterday.,6
Why has my deposit not cleared yet?,6
"I put money in through ATM deposit, but my balance stayed the same.",6
Is there a holding period for cash deposits?,6
I made a check deposit and it has not posted.,6
"The deposit receipt says success, but my account is unchanged.",6
Can you verify whether my branch deposit was received?,6
"Cash deposit shows pending review, what does that mean?",6
I deposited before cutoff time but nothing appeared.,6
How long does cheque clearing take in your app?,6
My deposit transaction vanished from my history.,6
"I need the deposited funds urgently, can it be expedited?",6
My deposit was accepted and then reversed.,6
Where do I track deposit processing status?,6
I cannot add this recipient as a beneficiary.,7
Why is beneficiary setup failing for this account number?,7
Transfer recipient keeps getting rejected.,7
"The app says the beneficiary is not allowed, how do I fix it?",7
"I verified details, but beneficiary validation still fails.",7
Is there a waiting period after adding a new beneficiary?,7
Can I transfer without saving the payee as a beneficiary?,7
Beneficiary approval is stuck in a pending state.,7
Why is my recipient blocked for bank transfer?,7
I keep seeing beneficiary errors when sending money.,7
Are there restrictions on international beneficiaries?,7
The beneficiary worked before and now is denied.,7
How can I re-verify a beneficiary profile?,7
Is beneficiary creation limited per day?,7
My transfer failed because beneficiary authentication failed.,7
I sent a transfer by mistake and need to cancel it now.,8
Can I reverse a payment that is still pending?,8
"I entered the wrong amount, please stop the transfer.",8
How do I cancel a bank transfer before it settles?,8
Is there a grace period to void a transaction?,8
I paid the wrong person; can this payment be recalled?,8
The cancel button is missing on a pending transfer.,8
Can support manually cancel a transfer in review?,8
I need to undo a card-to-bank transfer immediately.,8
"Transfer is scheduled for later today, can I cancel it?",8
"The payment has not completed yet, and I want it stopped.",8
I made duplicate transfers; please cancel one of them.,8
How do I withdraw a transfer request?,8
Can I cancel it after the recipient has not accepted yet?,8
Please block this outgoing transaction before completion.,8
My card expires next month; how do I get a new one?,9
Can I request express shipping for a replacement card?,9
I lost my card abroad and need a replacement quickly.,9
How long does replacement card delivery usually take?,9
Is there a fee for emergency card replacement?,9
Can I replace a damaged card through the app?,9
"My card is about to expire, will you send a renewal automatically?",9
I need the new card sent to a different address.,9
Can I keep using my virtual card while waiting for the replacement?,9
Replacement card tracking has not updated.,9
My card was stolen; how do I order a new one now?,9
Can you rush a replacement before my trip?,9
I reported a broken card and still have no replacement update.,9
Where do I check replacement card status?,9
Do I pay extra for next-day card replacement?,9
Which merchants accept this card in person?,10
Can I use this card in grocery stores and restaurants?,10
How do I know if a shop supports payments with this card?,10
Is this card valid for online checkout everywhere?,10
Are there any places where this card will be declined by default?,10
Does the card work for subscriptions and app stores?,10
Can I pay with this card at fuel stations?,10
Will small local stores accept this card type?,10
Is there a map or list of supported merchants?,10
Can I use my card at international websites?,10
Does this card work with contactless terminals in most shops?,10
Are gambling or crypto merchants blocked for this card?,10
Can I use this card for hotel and car rental preauthorizations?,10
Why does one merchant reject the card while others accept it?,10
Please explain where this card can and cannot be used.,10
My physical card has not arrived yet and I am still waiting.,11
It has been over a week; where is my card delivery?,11
Can you track my card shipment status for me?,11
I ordered a card but I still have no delivery update.,11
The card is delayed and I need an ETA.,11
Why is my card taking so long to arrive?,11
Can you check whether my card is lost in transit?,11
My tracking information has not moved for days.,11
I never received the card that was marked dispatched.,11
When should I report my card as undelivered?,11
"The app says shipped, but nothing reached my address.",11
Is card delivery delayed in my region right now?,11
Can support confirm the courier still has my card?,11
What should I do if my card does not arrive after two weeks?,11
Please investigate my missing card delivery.,11
Can I get my new card delivered faster?,12
Do you offer express shipping for card delivery?,12
I need the card before my trip; can you expedite it?,12
Can I choose a specific delivery date for my card?,12
How quickly can a replacement card arrive in the US?,12
What is the fastest card shipping option available?,12
Can you prioritize my card dispatch as urgent?,12
Is same-week delivery possible for a newly issued card?,12
Can I upgrade my card delivery to courier service?,12
I need an estimated arrival day for my card order.,12
Can delivery be redirected to get the card sooner?,12
What is the normal card delivery time to my location?,12
I want to pay extra for quicker card delivery.,12
Can you speed up this pending card shipment request?,12
Please share the earliest possible delivery date for my card.,12
"I found my card, how do I link it back in the app?",13
My card is not showing in the app after recovery.,13
Can I reattach a card to my profile after I found it?,13
The app does not recognize the card I physically have.,13
How do I pair my card with the app again?,13
I recovered my card but it still appears missing in-app.,13
Can you help me add my existing card to the app dashboard?,13
Why is my card visible physically but not in the app?,13
I need steps to reconnect the card to mobile app access.,13
How can I restore card controls in app after finding the card?,13
"The card is active, but it is unlinked from my app.",13
Can I manually sync card details with my account?,13
Please help me relink my card so I can use app controls.,13
My app lost the card connection after reinstallation.,13
How do I make a found card appear again in the app?,13
My card keeps getting declined even with enough balance.,14
I cannot pay anywhere with this card right now.,14
Card payments suddenly stopped working today.,14
Why does the terminal reject my card every time?,14
The card worked yesterday but now every transaction fails.,14
My card is active in app but does not work in stores.,14
Can you diagnose why my card is not functioning?,14
Online purchases fail with this card as well.,14
I entered the PIN correctly but payment was declined.,14
Contactless and chip payments both fail on my card.,14
Is there a temporary block causing card failures?,14
My card says declined at multiple merchants.,14
Could a damaged chip cause this card issue?,14
Please help me fix a non-working card urgently.,14
What checks should I do when card transactions fail?,14
Why was I charged a fee for a normal card payment?,15
I paid by card and noticed an unexpected extra charge.,15
There is a card payment fee on my statement I do not understand.,15
