text,label
I tried activating my plug-in and it didn't piece of work,0
I tired but an unable to activate my card.,0
I want to start using my card.,0
Please help me with my card.  It won't activate.,0
How do I verify my new card?,0
How old do I need to be?,1
How old do you need to be to use the banks services?,1
Whats the minimum age to have an account,1
Can my children open an account?,1
I want to open an account for my children,1
Can I deposit money using Apple Pay?,2
"Hi, I have an apple watch. How do I use it to top up my card?",2
Can I use google pay for topping -up,2
Can I use google pay to top up?,2
why top up is not working even if I got my American Express in Apple Bay?,2
I can use this card at which ATMs?,3
Can I use the card at any cash machine?,3
What locations can I get money from?,3
What ATMs take this card?,3
Which ATM's can I use to make a withdrawal?,3
Does the auto top-up have any limits?,4
What are the maximum amount you can do for auto top-up?,4
I can't find the auto-top up option.,4
Can I add money automatically to my account while traveling?,4
i need help finding the auto top up option.,4
Hello. Can you help figure out why the recent transfer from my UK bank account isn't showing up?,5
how do i see what i transferred,5
help my money isnt showing up,5
I've made a transfer from France two days ago but I was wondering if international transfers take longer to arrive because it hasn't made it yet.,5
After I transferred money the balance remained the same.,5
Why is my last cheque deposit taking so long?,6
I am still waiting for a the cash I deposited this morning,6
"I tried using a check to update my balance, but it isn't work? Is something wrong?",6
I deposited cash but it isn't showing up in my account,6
I put some cash into my account but it's not displaying that on my balance.,6
What are the reasons for my beneficiary not being allowed?,7
Is there something wrong with the transferring functions? I keep trying to transfer funds and only get an error message.,7
What are the reasons a beneficiary would be denied?,7
A transfer to my account was denied.,7
is there something blocking me from making transfers,7
Can I cancel a transaction?,8
I made a mistake this morning when I did a transfer. How do I reverse it?,8
Am I able to cancel a transfer I just made,8
Cancel a transaction,8
"I needed to make a payment on my account, but I typed in the incorrect number.  The app won't allow me to cancel this transaction.  I need it cancelled ASAP!!",8
Are there restrictions on new cards in China?,9
Can I get a new card with new expiration date in China?,9
"I am overseas in China, can I get a replacement card?",9
Are there any express fees if i want my new card faster?,9
Do I need to do something to get a new card once it expires?,9
How do I know where I can use my card?,10
Are there businesses that don't accept this card?,10
Is there anywhere I can't use my card?,10
In which stores can I shop with this card?,10
Can I tell what business will take this card?,10
I am still waiting on my card?,11
What can I do if my card still hasn't arrived after 2 weeks?,11
I have been waiting over a week. Is the card still coming?,11
Can I track my card while it is in the process of delivery?,11
"How do I know if I will get my card, or if it is lost?",11
Can I get my card fast tracked?,12
Help! When will the card arrive at my home?,12
When can I expect my card? I live in the US.,12
I need to get my card quickly,12
Can it specifically be delivered on a certain date?,12
"lost card found, want to put it back in app",13
I just got my card.  It's not linked yet--how do I do that?,13
how do I get my card to show in the app?,13
I was able to find my card. How to I go about putting it into my app?,13
My card has been found. Is there any way for me to put it back into the app?,13
I can't seem to be able to use my card,14
"My card isn't working at all, I need assistance. It's really frustrating.",14
Can you tell me what the problem with my card is? It was declined at a restaurant today.,14
I can't use my card because it is not working.,14
How do I fix a broken card?,14
I don't understand why I'm being charged for using my card.,15
Tell me why there is a fee for a card payment.,15
Why am I being a charged for using my card?,15
I received a fee I should not have.,15
There was a fee charged when I paid with my card.,15
I don't understand where this charge came from.,16
There's a payment with my card that I didn't perform. I don't know that name shown.,16
My statement indicates I made a payment to an unfamiliar merchant.,16
"There's a payment with my card that I definitely didn't do myself, never seen that name before.",16
Help! In the app there is a payment that I don't remember.,16
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",17
I think the currency exchange that's been applied is wrong.,17
"Hi, I am disappointed to see such a bad exchange rate and hope you can assist me. Would you be able to confirm the official interbank exchange rate for me?",17
Can you please explain why the exchange rate for the item I bought is wrong?,17
The exchange rate I was charged for a purchase was not right.,17
An ATM machine didn't give me back my card.,18
What do I do now my credit card has been swallowed by the ATM?,18
What do I do if the ATM took my card?,18
"My card got trapped inside an ATM, what should I do?",18
What do I do if I can't get my card out of the ATM?,18
Why am I being charged extra when I withdrew money?,19
Why is there a charge when I took out money?,19
Why have I been charged a fee for cash withdrawal?,19
I made a cash withdrawl and there is a charge.  What is this?,19
I am inquiring about why there was an extra fee charged when I used an ATM.,19
I didn't withdraw the amount of cash that is showing up in the app.,20
I looked on the app and it says I withdrew cash.  I didn't!,20
"Someone has a copy of my card !! I definitely still have it here but someone just made a 500£ cash withdrawal, HELP!",20
"I saw on the app that a cash withdrawal was completed on my account; however, I did not complete it.",20
I got a notice from my app that I withdrew cash but I don't remember doing so. How do I fix this?,20
Can I change my PIN at any cash machines?,21
What are the steps to change my PIN to something else?,21
In what way can I change my PIN and where do I need to be?,21
I need to make my card PIN a different number,21
Is it possible for me to change my PIN number?,21
I just got an email in confirming my purchase with my card. I login to the mobile app on the card and found out there are several purchase were made without me aware of it. Evidently someone had stole my card information and made these fraudulent purchase. I need the transaction to be reverse and have my card suspended.,22
I don't recognize some transactions.  Is someone else using it?,22
What do I do if I detect fraudulent use on my car?,22
I think my account has been hacked there are charges on there I don't recognize.,22
I think someone is using my card without my permission!,22
My contactless payments don't work.,23
Why is my contactless not working?,23
How come when I tried to pay contactless at the bus it didnt work?,23
Should i uninstall the app before i try it again?,23
how many days processing new card?,23
How do I get a card if I live in the US?,24
Where are you cards supported?,24
Which countries are you available in?,24
Please list the countries you support.,24
Are these cards available in europe?,24
I'm not sure why my card didn't work,25
My card is not working at stores.,25
Do you know why my card payment has been declined?,25
Why isn't my card working? I was pumped to use my new card but it keeps getting declined. Help please.,25
I could not use my card in a store.,25
I could not access my money at the ATM,26
"I tried to withdraw cash and got declined, why is that?",26
Why was I declined when I tried to get my money?,26
Why was I blocked from withdrawing from the ATM?,26
"i needed money for a night out with the girls but i was declined, why?",26
I tried to buy something online yesterday and got a message saying declined. I tried again today and got the same message. What's the problem?,27
"I am having trouble doing a transfer. A ""Decline "" message appears after making the transfer.",27
"Transfer unable to be completed, states 'declined'",27
Why was my transfer request decline?,27
My transfer was rejected,27
There is a direct debit payment that I did not make.,28
I am seeing in the App a diret debit that its not mine,28
Please help my find out why there is an odd direct debit in my records.,28
what is the word?,28
"Hi, i found a large amount payment in my old statements which i am sure was not made by me. I am aware that the time has passed but is there a way to raise a dispute for this payment now?",28
"i tried using a virtual card for a hotel but it didn't work, why not",29
Can I have more disposable cards?,29
How many times can I use a virtual card?,29
Do the disposable cards have any restrictions on them?,29
A friend was telling me about her disposable cards. What would I have to do to be able to get that feature?,29
I'd like to make some changes to my personal information.,30
I would like to change my adress,30
I would like to change my name after marriage.,30
I am interested in changing my personal details.,30
I am here to change my adress.,30
What are the currency exchange fees?,31
Is there any cost to change foreign money to local?,31
Are there any hidden extra fees for currency exchanges?,31
If I exchange currencies on a frequent basis can I receive a discount?,31
How much is the exchange fee?,31
Do you know the rate of exchange?,32
What is the exchange looking like?,32
What foreign exchange rate will I get on weekdays and on the weekends?,32
Will my money be of equal value when I travel abroad?,32
What is my money worth in other countries?,32
What if I need to use GBP instead of USD?,33
Does the app allowing exchanges between USD and GBP,33
Can I change from AUD to GBP?,33
"I need to exchange between different currencies, like GBP and USD. Can I do that with your app?",33
How can I change to another currency?,33
I am inquiring about a $1 charge on my statement.,34
Why did they charge me an extra $1?,34
Why is there an extra fee on my statement?,34
Why do I see an extra £1 charge on my statement?,34
Why is there a 1 euro fee on my statement?,34
Is there a reason that my transfer failed?,35
What is happening?  I have tried to transfer money 5x already.  Is the system down?  This shouldnt be happening as this is a basic transfer.,35
Why was I unable to finish this transfer?,35
"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",35
Why didn't my transfer complete?,35
Is it okay to hold money in multiple currencies?,36
Is the EUR accepted for exchanges?,36
How many currencies can I have money in in my account?,36
Do you allow currency exchanges?,36
How many different currencies can I hold money in?,36
What are the disposable cards for?,37
I need a disposable virtual card. Please tell me how to order one.,37
"I want a disposable virtual card, how do I do that?",37
What do you use disposable cards on?,37
How do I get a disposable virtual card as well?,37
Where is the card PIN located?,38
my pin hasn't arrived in the post! How do I cancel it or get a new one?,38
Where can I get my card PIN?,38
Is my PIN sent separably?,38
"I'm not sure what to do about the PIN, because I don't have one yet.",38
I want some extra physical cards.,39
"I would like open a second card for my daughter, how can you assist me?",39
I'd like to order an additional card,39
Am I gonna be charged for sending out more cards?,39
Are extra charges added for sending out additional cards?,39
Can you give me a virtual card?,40
"I would like to order a virtual card, where can I get one?",40
I haven't received my virtual card yet!!,40
How can I sign up for a virtual card?,40
"I need to order a new virtual card, how do I do that?",40
I'm panicking!  I lost my card!  Help!,41
I lost my wallet and all my cards were in it.,41
Has there been any activity on my card today?,41
I need to report a stolen card,41
How do I replace a stolen card?,41
I think I lost my phone.  Is there a way to prevent anyone from getting into my account on it?,42
"My phone was stolen, what should I do?",42
"My phone was stolen, what should I do first?",42
"Someone has stolen my phone, what should I do?",42
"I lost my phone, what should I do?",42
Can I request a card?,43
How much does it cost for a physical card?,43
Where can the cards be delivered?,43
Do I have to pay for a physical card?,43
What do i do to get a physical card?,43
I am unable to access my app due to forgetting my passcode.,44
What should I do if I don't know my password?,44
"I thought I knew my password but I guess I was wrong, what can I do now?",44
Help me!  I don't know what my password is.,44
I can't recall my password.,44
Could you please tell me why my purchases from this morning say payment is pending?,45
The purchase I made is still pending.,45
Is there a problem with the payment that I see is still pending?,45
What does it mean when a payment is pending?,45
There is a payment that I made that hasn't gone through yet.,45
Why is the cash withdrawal under pending?,46
I tried to get cash out of the ATM but it is taking too long,46
I would like to know why a withdraw I made for some cash shows up as pending.,46
Why is my cash withdrawal still showing as pending?,46
"I have the cash already, my account still shows up as pending.  How can my account be still pending?",46
How long will it take for my money to be deposited?,47
I am under the impression that my top up is still pending,47
How long does a top-up take to go through?,47
i put money on my card and i dont see it on the balance,47
I have a top-up that's still pending and wanted to know about it.,47
I can't figure out why a transfer is still pending?,48
"How long do transfers take, mine just says pending?",48
When will my transfer finish pending?,48
"Transfers can take up to one day to process before departing for the beneficiary accounts. Please confirm that you've entered your account details correctly. SEPA transfers can take up to two working days, while SWIFT transfers can take up to five working days.",48
"i put in money for vacation and its not showing. i need that money today, how long will it take",48
I have exceeded the number of PIN attempts,49
Please help me unblock my pin which I put the wrong one too many times.,49
I mistook my pin and now I am locked.  Can you unlock me?,49
"I locked myself out of my account, how do I unblock my PIN?",49
Help me unblock my account.  I entered the PIN wrong too many times.,49
Can my salary be received here?,50
Salary in GBP has been received. Does it need to be configured into another place?,50
How can my friend give me money?,50
How can my boss pay me directly to the card?,50
I am paid by my employer in GBP; do I need to do anything in the app to indicate this?,50
Why am I missing my refund,51
I requested a refund but am unable to see it in my account. Why is that?,51
Please help me.  I am still waiting on a refund.,51
When will my refund come through,51
"I don't see my refund money yet in my account. I asked the merchant a while ago for a refund, so I don't know what's taking so long.  Can you look into it and see if the money is there, just not in my account yet?",51
Can I request a refund,52
I want to return an item for a refund can I do that?,52
Can i cancel this purchase?,52
Please tell me how to get a refund for something I bought.,52
How long does it take to get a refund on something I bought?,52
"I tried to use my debit card, but the payment did not work.",53
I wanted to purchase something online but the payment was returned back to me. This has been going on for a couple of weeks. Please tell me what is going on here?,53
"Hi, I had an issue with my card payment and It shows on my account that my payment went through. Then I got contacted from the seller saying ""they did not receive my payment"" then the payment was returned to my account. so I would like to see why it did that please.",53
I think my card payment has been reverted,53
Tell me why my card payment would be reverted.,53
Can I use my American Express card to add money into my account?,54
Am I able to add money into my account using my American Express?,54
Is my credit card supported for top-ups?,54
Which currencies do you accept for adding money?,54
How do I use American express to top up my account?,54
How do I discontinue my account?,55
How do I deactivate my account?,55
Remove my account immediately.,55
Are you able to delete my account?,55
please delete account,55
Will I be charged a fee for a SEPA transfer?,56
Is there a charge for SEPA transfers?,56
What are the charges for receiving a SEPA transfer?,56
Will there be a charge for topping up by account with a SEPA transfer?,56
Is there a top up fee for transfer?,56
What is the fee for topping up a US card?,57
Which US cards have top up charges?,57
Is there a charge for topping up by card?,57
What is the charge for using a Top up card in the US?,57
What fees are charged when I top up,57
Will a cheque suffice?,58
"Help me please, I need to top up cash.",58
Do you have any options to top up with a cheque on my account?,58
Is there somewhere I can send a check to add to my account?,58
I can't find any option to top up with a cheque?,58
My top up is not working,59
I think my top-up has failed.,59
My top-up was rejected by an app.,59
Top-up is not working,59
"My top-up hasn't gone through, what happened?",59
Can I increase my top-up maximum?,60
Can I top-up any amount?,60
What's the limit to how much I can top up?,60
What is the max amount of top-ups?,60
Are top-ups unlimited?,60
"My top up did not show up as shown and my money has disappeared, can you help me fix this glitch problem?",61
I think my top up has been reverted,61
Has my top-up been cancelled?,61
"I topped up recently and saw the money go through, but now it's just gone? What's going on",61
For what reason did my top-up get cancelled?,61
"I tried topping up using my card, but the money is gone?",62
My money I had was gone and I could not get gas!,62
i can not see my top up,62
I can't see my top up in my wallet!,62
I want to transfer money using my credit card.,62
A transaction shows duplicate times.,63
How can I fix this?  There is a double charge on my account.,63
There is a repeat charge for the same item,63
My card got charged twice for the same thing!,63
"My husband and I went out for our weekly ""dinner and a movie,"" and it was my turn to pick up the check. Now I see that my card was charged twice. Who should I contact about negating the second charge and getting my card credited?",63
When I made a transfer I was charged extra.,64
"I transferred money, why was charged for an extra fee?",64
I didn't know there was a charge for tranferring. What is the charge?,64
"There is a fee for a transfer, please explain that to me.",64
"I was transferring some money to a friend, which I thought would be free, but I see there is a charge.  What's up with that?",64
How can I link my bank to my top up account?,65
I have an account that is empty of funds. Can I transfer some from another bank?,65
I want to transfer money. How do I do that for my account?,65
HOW DO I TRANSFER MONEY FROM MY BANK ACCOUNT?,65
How do I transfer money into my account?,65
I am worried that too much time has gone by for a transfer to be completed.,66
"I have done a transfer within the country the day before yesterday, but it's still not there yet. Can you please check what's going on with that, the account number definitely is the right one, I've checked that already.",66
What is the time frame that it usually takes for a transfer to come through? I have a friend needing it immediately but it has yet to come through.,66
My money transaction can't be seen by the person I sent it to,66
"How long does it typically take a transfer to go through?  I sent some money to a friend earlier today, and she really needs it.  It still is a pending transfer, even though I sent it a few hours ago.",66
How long does it take to get my money,67
How long am I to wait before the transfer gets to my account?,67
Will the transfer show up in my account soon?,67
